key,value
Routine_radio,早番_8_B
早番_8_B_1_07_55_00,False
早番_8_B_2_08_00_00,False
早番_8_B_3_08_00_00,False
早番_8_B_4_08_00_00,False
早番_8_B_5_08_00_00,False
早番_8_B_6_08_00_00,False
早番_8_B_7_08_00_00,False
早番_8_B_8_08_00_00,False
早番_8_B_9_08_00_00,False
早番_8_B_10_08_15_00,False
早番_8_B_11_08_15_00,False
早番_8_B_12_08_30_00,False
早番_8_B_13_08_30_00,False
早番_8_B_14_08_45_00,False
早番_8_B_15_08_45_00,False
早番_8_B_16_09_00_00,False
早番_8_B_17_09_00_00,False
早番_8_B_18_09_05_00,False
早番_8_B_19_09_15_00,False
早番_8_B_20_09_15_00,False
早番_8_B_21_09_30_00,False
早番_8_B_22_09_30_00,False
早番_8_B_23_09_30_00,False
早番_8_B_24_09_30_00,False
早番_8_B_25_09_45_00,False
早番_8_B_26_09_45_00,False
早番_8_B_27_09_45_00,False
早番_8_B_28_10_00_00,False
早番_8_B_29_10_00_00,False
早番_8_B_30_10_00_00,False
早番_8_B_31_10_15_00,False
早番_8_B_32_10_15_00,False
早番_8_B_33_10_15_00,False
早番_8_B_34_10_30_00,False
早番_8_B_35_10_30_00,False
早番_8_B_36_10_30_00,False
早番_8_B_37_10_45_00,False
早番_8_B_38_10_45_00,False
早番_8_B_39_10_45_00,False
早番_8_B_40_11_00_00,False
早番_8_B_41_11_00_00,False
早番_8_B_42_11_30_00,False
早番_8_B_43_11_30_00,False
早番_8_B_44_11_45_00,False
早番_8_B_45_11_45_00,False
早番_8_B_46_12_00_00,False
早番_8_B_47_12_00_00,False
早番_8_B_48_12_15_00,False
早番_8_B_49_12_15_00,False
早番_8_B_50_12_30_00,False
早番_8_B_51_12_30_00,False
早番_8_B_52_12_45_00,False
早番_8_B_53_12_45_00,False
早番_8_B_54_12_45_00,False
早番_8_B_55_13_00_00,False
早番_8_B_56_13_00_00,False
早番_8_B_57_13_00_00,False
早番_8_B_58_13_20_00,False
早番_8_B_59_16_00_00,False
