日付,AmFlex,BS/ MTG Ambassador,CLUE,COCO,CRC,Communication,Customer Success,DS,Dive Deep,Engagement,FBProgram,FeedbackProgram,File整理TRAIL,Foot Print,Forecast,MC,NewsFeed,Panorama,People/その他,RP,RP Expansion,RP SharePoint,RoutineBoard,SKILL-UP,SSOT,TWIG,Tips,Training,Voice,Wiki/START,その他,トラブル報告(SDS/GSOC),メトリクス,勤怠,就業実績,未配TT,架電Coaching,災害
2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,2.0,0.0
2024-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,17.5,0.0,5.5,19.0,1.0,8.0,3.0,7.0
2024-02-15,0.0,0.0,0.0,0.0,0.0,12.0,0.0,114.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.5,2.0,5.0,28.5,1.0,6.0,2.0,16.0
2024-02-16,1.0,1.0,0.0,0.0,0.0,5.5,0.0,132.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,27.5,3.0,8.0,0.0,17.5
2024-02-17,0.0,0.5,0.0,0.0,0.0,0.5,0.0,147.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,4.5,28.0,6.5,5.5,0.0,14.5
2024-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,31.0,1.5,7.0,26.5,1.0,6.0,3.0,8.5
2024-02-19,0.0,1.0,0.0,0.0,0.0,1.5,0.0,118.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4.0,0.5,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,2.5,3.0,25.0,0.5,6.5,1.5,16.0
2024-02-20,0.0,0.0,0.0,0.0,0.0,2.5,0.0,119.5,0.0,0.5,0.0,0.0,5.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,9.0,3.0,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,39.5,2.0,3.0,28.0,1.0,5.5,6.5,14.0
2024-02-21,1.0,0.0,0.0,0.0,0.0,4.0,0.0,115.0,0.0,2.5,0.0,0.0,1.5,0.0,0.0,0.5,5.5,0.0,0.0,0.0,3.0,1.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,6.5,26.0,1.5,7.5,2.5,11.5
