日付,ABC,CLUE,COCO,CRC,Customer Success,DS,Dive Deep,Engagement,FBProgram,File整理TRAIL,Foot Print,Forecast,ISD,NewsFeed,Panorama,People/その他,Pilot,RP,RP SharePoint,RoutineBoard,SKILL-UP,SSOT,Training,Voice,Wiki/START,トラブル報告(SDS/GSOC),メトリクス,勤怠,就業実績,架電Coaching
2025-01-01,,4.0,,25.0,,40.0,,,,,,,,0.5,19.0,0.5,,61.0,3.0,,,1.0,,,,7.0,2.5,25.0,0.5,
2025-01-02,,,,28.0,2.0,25.0,,,,,,,,0.5,,,,64.5,,,4.5,,,,,8.0,1.5,23.5,,
2025-01-03,,4.5,,18.5,3.0,43.0,,,0.5,,,,,,25.5,4.5,,57.0,,,4.5,,,,,7.0,2.0,26.0,,
2025-01-04,,5.5,,25.5,,47.0,,,,,5.5,,,0.5,19.0,2.0,,54.5,,0.5,1.5,,,0.5,0.5,7.0,1.5,28.5,,
2025-01-05,,1.5,,22.5,6.0,38.0,,,1.0,,,3.0,,,17.0,2.0,,61.0,,5.0,9.5,,,,1.5,7.0,3.0,27.5,0.5,1.0
2025-01-06,,,,12.5,,36.5,,,,0.5,1.0,2.0,,0.5,13.5,1.0,,68.0,,,2.5,,,,0.5,8.5,0.5,22.5,,1.0
2025-01-07,,,,20.5,1.5,36.0,,,,,,,,,19.5,2.5,,73.5,,,2.0,0.5,,1.0,,2.0,1.5,25.0,,1.5
2025-01-08,,,1.0,31.0,,34.5,,,3.0,,8.0,,,0.5,20.5,4.0,,65.5,,,,,2.0,,1.0,2.0,2.5,28.0,0.5,1.0
2025-01-09,,0.5,,48.0,,42.0,2.0,,,,,2.0,,0.5,22.0,8.0,,72.0,,,1.0,,,,,2.5,7.0,33.0,,3.0
2025-01-10,,0.5,1.0,34.0,,36.5,,0.5,,,,1.0,,,12.0,15.5,,67.0,,,2.5,,,,1.0,3.5,1.5,28.5,,1.0
2025-01-11,,5.5,,26.5,3.0,47.0,,,,,3.5,0.5,,0.5,16.0,6.0,,68.5,,,,1.0,,,0.5,10.0,3.0,29.5,3.5,0.5
2025-01-12,,1.0,,26.5,,44.0,,,,,,,,,9.5,6.5,,76.5,,,5.0,4.0,,,,9.5,2.0,29.0,2.0,
2025-01-13,,,,17.5,5.5,39.5,,,,,,0.5,,0.5,17.0,18.0,,65.0,,,1.5,3.0,,1.0,,7.0,1.5,28.5,0.5,
2025-01-14,,0.5,,20.0,2.5,41.5,,,1.0,,3.0,4.5,,0.5,13.0,22.5,,53.0,,3.5,6.0,,,,4.0,0.5,3.0,27.5,,0.5
